RegionName,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
California,6,210323.33,239997.5,270244.17,315176.25,383663,467014.67,512771.75,492311.17,403482.25,329156.58,326345.25,308225.58,305996.17,363967.83,411494.25,434174.83,464518.42,495290.75,534009.33,543941.17,572560.42,670391.75,769550.22
Texas,48,115151.92,116678.42,119366.25,122923.58,130483.8,135998.33,140698.75,146091.17,145690.58,142281.92,141505.33,136996.33,137678.25,145360.33,156587.67,168749.33,180484.58,192336.08,203688.42,213443.75,221834.75,255688.33,304574
Florida,12,118831.58,128727.83,141859.42,158345.42,181301.58,224264.92,270268.58,261558.08,216756.08,172471.25,156366.75,141975.83,141570.58,158136.58,176579.42,189028.17,204273.83,219481.67,234736.67,245833.17,257701.33,301742.75,382345.11
New York,36,156204.25,169024.17,184387.92,203894.67,225580,251321.58,272802.42,277452.25,273714.58,259393.92,255317.75,248705.17,244116.17,248651.67,256408.83,261854.25,269490,281827.83,297835.58,310238.58,320785,358976.25,399776.89
Pennsylvania,42,108829.33,114637.5,121751.08,131648.42,144202.17,160453.33,174886.75,180779.25,179586.92,173396.58,172513.33,165156.58,161465,163145.08,166046.17,168573.83,172703.92,179310.92,189113.42,197274.08,206779.8,236448.42,262421.56
Illinois,17,151607.17,163528.08,175847.08,188623.42,203041.67,219827.58,234147.92,236473.17,220568.56,197111.25,184091.92,167919.58,157330.17,162834.58,172960.25,178238.83,184822,194199,201857.17,205968.58,210371.67,233642.92,260356.89
Ohio,39,114189.75,119247.17,123134.42,127462.75,132056.42,136191.08,138678.25,137313.5,132802.58,126141.5,122928,116863.5,113681.67,115442.58,118056.17,122421,127801.5,135585.67,144531.83,153135.92,162969.58,186583,209925.33
Georgia,13,136192.08,146067,152921.92,157466.83,162129.33,168157.08,174969.42,178929.33,171987.25,154262.08,143502.83,129822.08,125787.17,135608,148808.08,157713.25,167116.75,177775.25,193170,205950.17,217283.83,254343,310327.78
North Carolina,37,137968.17,143377.25,146446.83,149252.25,153183.08,159532.33,169248.58,177680.67,178897.5,171551.42,165623,157945.25,153765.17,156244.25,161163.25,166058.17,173092.92,183457.25,195595.83,207230.58,219613.58,259451.27,313533.67
Michigan,26,126192.25,134545.17,140483.5,145109.58,150463.08,154593.42,155170.92,147720.25,132505.5,112261,103840.17,97335.42,98290.17,109126.5,121875,128888.08,137092.25,148231.67,160590.33,170612.08,180431.75,206992.67,232194.33
New Jersey,34,191875.83,212138.67,238963.42,275853.75,313990,360193.67,395766,390802.42,366792.17,336028.17,324046.25,303216,287287.42,291527.58,303086.5,305370.42,307836.67,316176.5,330016.08,337770.08,351110.75,405498.08,456061.56
Virginia,51,141203.58,153066.58,167746.42,186033.08,216144.17,262219.67,293185.92,291573.42,270923.5,249597.92,245003,236792.5,235629.67,244516.42,252001.83,254851.5,259252.42,268270.33,277799.58,288621,301383,337114,373059.78
Washington,53,177689.75,186787.67,194742.33,204048.58,221993.25,255111.58,297904.33,317966.92,302810.33,270683.42,255229.75,231734.08,223491.75,244195.92,263067.25,283272.92,312844.5,347791.75,384484,400851.5,433859.75,517176.83,607281.89
Arizona,4,138486.83,146192.83,153664.92,162547.67,177404.5,230706.08,281019.67,269013.08,223430.25,173473.83,156756,138950.33,148258.83,174799.5,189923.42,198823.75,211641.92,225674.5,242716.25,257768.5,283058.42,356780.58,430013.33
Massachusetts,25,217023.58,250398.75,285035.17,323402.17,355875.58,385836.92,385668,367694.25,345339.58,322793.42,324189.25,311869.92,304583.25,322943.08,340468,352772.75,369518.17,390633.67,414005.42,424128.83,444370.92,511958.08,573214.22
Tennessee,47,116295.58,120232.58,123067.33,126081.92,130474.92,137957.08,147322.75,153558.25,151465.83,145408.08,142284.17,137240.08,135576.92,138857.83,144488.42,150072.33,158739.42,170049.67,182834.42,193967.67,207495.58,241439.67,294644.78
Indiana,18,105059.25,108697,110430.17,112203.58,115204,121543.25,124596.75,126408.58,125996.83,122572.08,121011.75,117485.58,116809.08,118487.67,122536.08,126249.58,130968.42,138492.42,148390.17,158253.08,168063.08,192512,220098.44
Missouri,29,104267.75,111607.5,119180.33,126576.5,133491.5,140083.25,145887.17,147973.08,144721.25,138841,135647.5,127673.17,124776,127558.25,131472,135864.42,142338.67,150674.08,159726.83,167771.17,176327.33,201364.25,227936.78
Maryland,24,165438.67,175766.08,193517.5,219897.58,257000.75,312078.58,358761.08,363516,333900.08,292506.75,276613.5,260548.08,254401.92,266851.58,278881.42,280223,285411.83,295530.25,306315.25,313407.83,323588.75,364579.75,397756.56
Wisconsin,55,121475.33,128238.17,135286.92,143604.25,155444.58,167075.33,174014.83,175642,171468.75,161943.92,157808,147092.08,142908.5,145590.58,151849.5,155876,162734.17,173523.17,185567.08,195683.25,207462.42,235311.67,261504.78
Colorado,8,193841.58,216920.17,228697.08,233152.5,237987.67,244874,250513.17,251075.92,243171.25,235907.17,233948,224910.17,228905.75,247464.83,266958.75,295386.67,327124.75,355930.08,383384.25,400158.42,418249.17,488567,571713.11
Minnesota,27,142096.25,161210.75,178156.5,193535.92,208946.83,223493,229912.17,226105.08,209680.5,191110.5,185550.25,170006.08,167143.42,181784.17,195924.42,202801.83,214460.42,228683.33,244311.67,256020.5,268576.5,300764.5,329677.67
South Carolina,45,125271.17,130988.83,134508.83,138672.58,145050.83,155729.5,169330.25,175982.33,173467.67,163566.33,157973,149436.83,146605.5,149007.42,154465.58,159730.08,166778.17,175082.67,185301.33,194398.08,203972.67,233406.83,283552
Alabama,1,105578.33,109841.5,112676.25,116004,120097.83,126018,135818.67,141921.83,141004.17,135488.42,129981.25,123870.17,121723.08,123231.67,125609.5,128438.42,131598,135803.08,142088.42,149049.25,158661.42,179791.58,207471.78
Louisiana,22,108375.92,114105.75,119129.91,123359.67,129206,136526.67,149594.42,156478.5,157438,156020,155314.83,150809.33,150037.33,152057.33,155447.42,159098.67,163060.92,167271,171327.58,172318.5,177238,191015.83,211941.89
Kentucky,21,95494.83,100643.42,104107.92,107430.83,110845.83,115353.42,119300.5,121202.42,120841.08,119529.67,118580.17,114929,114219.08,115772.42,118447.17,122289.75,127666.67,135047.83,142770.25,149507.08,157461.58,176265,198804.56
Oregon,41,163494.67,169553.17,176796.58,186160.75,201317,230703.83,273788.83,292154.42,279570.17,251676.08,236900.67,217038.08,213741.17,234831.08,255345,275180.42,304878.42,332221.17,354037.5,367332.17,386366,451477,512505
Oklahoma,40,82332.17,86480,89723.5,92871.25,96201.33,100291.75,104853.08,108369,109753.08,109484.83,110404.83,107607.5,107636.42,110060.58,113251.33,117332.08,120539.75,124696.08,128662.75,133339.67,141096.25,157515,180688.78
