RegionName,id,ValueW,ValueM,Rent,CostsW,TaxesW
Alabama,1,143700,198700,861,379,530
Alaska,2,262300,323100,1259,619,2728
Arizona,4,278000,360300,1253,440,1550
Arkansas,5,137100,175400,820,372,717
California,6,598000,667700,1750,,
Colorado,8,437200,476100,1491,,
Connecticut,9,302900,315800,1277,,
Delaware,10,290400,305100,1208,,
District of Columbia,11,682500,666200,1668,,
Florida,12,261800,309400,1348,,
Georgia,13,201200,271000,1153,,
Hawaii,15,706700,729800,1774,,
Idaho,16,328700,387200,1035,,
Illinois,17,203400,247500,1106,,
Indiana,18,160300,194600,905,,
Iowa,19,158700,187600,847,,
Kansas,20,154300,207800,904,,
Kentucky,21,145000,193800,830,,
Louisiana,22,161300,216300,924,,
Maine,23,225400,268600,945,,
Maryland,24,346000,379600,1473,,
Massachusetts,25,465400,487600,1487,,
Michigan,26,169200,219300,969,,
Minnesota,27,265200,295700,1113,,
Mississippi,28,105900,177700,831,,
Missouri,29,170100,214400,882,,
Montana,30,282700,349300,883,,
Nebraska,31,174500,220900,912,,
Nevada,32,353600,380300,1311,,
New Hampshire,33,327100,353700,1263,,
New Jersey,34,370900,400400,1457,,
New Mexico,35,171100,240700,906,,
New York,36,331600,392900,1409,,
North Carolina,37,186200,261300,1026,,
North Dakota,38,193800,243400,839,,
Ohio,39,160800,194800,870,,
Oklahoma,40,144900,186100,855,,
Oregon,41,391100,436200,1282,,
Pennsylvania,42,190800,242400,1036,,
Rhode Island,44,343900,350000,1142,,
South Carolina,45,168000,239500,976,,
South Dakota,46,180400,240900,830,,
Tennessee,47,197000,257700,981,,
Texas,48,185300,270600,1167,,
Utah,49,404500,427700,1208,,
Vermont,50,254800,281100,1115,,
Virginia,51,270900,357400,1331,,
Washington,53,441200,505800,1484,,
West Virginia,54,110300,170900,767,,
Wisconsin,55,215300,239500,921,,
Wyoming,56,250900,274200,889,,
National,67,225400,271000,1036,,
