RegionName,id
West Virginia,54
Arkansas,5
Kentucky,21
South Dakota,46
Mississippi,28
North Dakota,38
Iowa,19
Oklahoma,40
Alabama,1
Ohio,39
Missouri,29
Montana,30
Wyoming,56
Kansas,20
Indiana,18
New Mexico,35
Nebraska,31
Wisconsin,55
Louisiana,22
Maine,23
Michigan,26
South Carolina,45
Tennessee,47
North Carolina,37
Idaho,16
Pennsylvania,42
Illinois,17
Minnesota,27
Vermont,50
Rhode Island,44
Georgia,13
Texas,48
Delaware,10
Utah,49
Arizona,4
Alaska,2
New Hampshire,33
Connecticut,9
Oregon,41
Nevada,32
Virginia,51
Florida,12
New York,36
New Jersey,34
Maryland,24
Washington,53
Massachusetts,25
Colorado,8
District of Columbia,11
California,6
Hawaii,15
